Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-7.464566929133857442e+00,2.087291820104045931e-02,3.476406128600484369e-02
-7.401574803149606474e+00,2.315251325813032224e-02,4.334901862935372496e-02
-7.338582677165354617e+00,2.543097293839402182e-02,4.424608169486995979e-02
-7.275590551181100984e+00,2.750771016426780888e-02,3.664362639389043275e-02
-7.212598425196850016e+00,2.931452920146981889e-02,2.415532243896997486e-02
-7.149606299212599048e+00,3.099272423504281088e-02,1.374867351522988772e-02
-7.086614173228345415e+00,3.286552750866418571e-02,1.268169804393823319e-02
-7.023622047244093558e+00,3.529584030802619676e-02,2.473093245223585354e-02
-6.960629921259842590e+00,3.848430685128143708e-02,4.759569796097388311e-02
-6.897637795275588957e+00,4.231129043128531442e-02,7.305392947224345623e-02
-6.834645669291337988e+00,4.632585613963596805e-02,9.024376999896344120e-02
-6.771653543307086132e+00,4.992420704088242761e-02,9.085439382245026618e-02
-6.708661417322835163e+00,5.266034984951011022e-02,7.381525026401622447e-02
-6.645669291338581530e+00,5.454176408414894428e-02,4.696688219840172013e-02
-6.582677165354330562e+00,5.613670922137803387e-02,2.439435284845663243e-02
-6.519685039370078705e+00,5.838718872122900666e-02,2.016450275851029705e-02
-6.456692913385825072e+00,6.216509579344835223e-02,4.117451245320052911e-02
-6.393700787401574104e+00,6.776381244382162494e-02,8.265418713684338781e-02
-6.330708661417323135e+00,7.459786878449459202e-02,1.289823814599190821e-01
-6.267716535433069502e+00,8.132711379899251747e-02,1.601094947511853550e-01
-6.204724409448817646e+00,8.643108732544046990e-02,1.610531529126090489e-01
-6.141732283464566677e+00,8.901236408578712400e-02,1.300479541493825553e-01
-6.078740157480315709e+00,8.943140960749246249e-02,8.106516257780400914e-02
-6.015748031496062076e+00,8.938379008659046165e-02,3.874937177274787731e-02
-5.952755905511810219e+00,9.125753310162630638e-02,2.741741696765236103e-02
-5.889763779527559251e+00,9.697293766708128815e-02,5.894713925812775784e-02
-5.826771653543305618e+00,1.068348222172768591e-01,1.254890022558471652e-01
-5.763779527559054650e+00,1.190290079252524641e-01,2.011728508098913348e-01
-5.700787401574802793e+00,1.301692448015986103e-01,2.529334829635884740e-01
-5.637795275590549160e+00,1.368073277681509659e-01,2.560385691956868492e-01
-5.574803149606298192e+00,1.372766488052983291e-01,2.071013894290544277e-01
-5.511811023622047223e+00,1.329357171424401796e-01,1.278801932092797633e-01
-5.448818897637795367e+00,1.280246610041757827e-01,5.707575611569051105e-02
-5.385826771653541734e+00,1.279490598434469550e-01,3.301554070762338644e-02
-5.322834645669290765e+00,1.366189633917740121e-01,7.489441753946275704e-02
-5.259842519685039797e+00,1.540943026165191854e-01,1.716650063023293649e-01
-5.196850393700786164e+00,1.758497894918097937e-01,2.847224563878445469e-01
-5.133858267716534307e+00,1.943399009870915572e-01,3.642818934420730126e-01
-5.070866141732283339e+00,2.024366433516917030e-01,3.726078969913055317e-01
-5.007874015748029706e+00,1.972422950686276433e-01,3.033143730293383911e-01
-4.944881889763778737e+00,1.823257027712706646e-01,1.869889228998538877e-01
-4.881889763779526881e+00,1.669391690740713308e-01,7.930313393198495930e-02
-4.818897637795275912e+00,1.621306276236229582e-01,3.602886443081643186e-02
-4.755905511811022279e+00,1.752882152594198717e-01,8.611320758207852144e-02
-4.692913385826771311e+00,2.057231838817944192e-01,2.157494361796152282e-01
-4.629921259842519454e+00,2.437601808188446795e-01,3.719747808922482801e-01
-4.566929133858265821e+00,2.743480553066980354e-01,4.854370124788836560e-01
-4.503937007874014853e+00,2.839969542845350303e-01,5.026312860188268949e-01
-4.440944881889763884e+00,2.679371094895058314e-01,4.126499509259127230e-01
-4.377952755905510251e+00,2.338267826915765291e-01,2.551543585667851999e-01
-4.314960629921258395e+00,1.996012586073214745e-01,1.045138771678822132e-01
